Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Rasio Jenis Kelamin Penduduk
Aceh,"4 523,1","2,36","1,90",78,"99,4"
Sumatera Utara,"13 028,7","1,10","5,46",179,"99,4"
Sumatera Barat,"4 865,3","1,34","2,04",116,"98,1"
Riau,"5 574,9","3,58","2,34",64,"105,9"
Jambi,"3 107,6","2,56","1,30",62,"104,2"
Sumatera Selatan,"7 481,6","1,85","3,14",82,"103,3"
Bengkulu,"1 722,1","1,67","0,72",86,"104,2"
Lampung,"7 634,0","1,24","3,20",220,"105,7"
Kepulauan Bangka Belitung,"1 230,2","3,14","0,52",75,"107,6"
Kepulauan Riau,"1 692,8","4,95","0,71",206,"105,2"
DKI Jakarta,"9 640,4","1,41","4,04",14 518,"102,5"
Jawa Barat,"43 227,1","1,90","18,12",1 222,"103,2"
Jawa Tengah,"32 443,9","0,37","13,60",989,"98,4"
DI Yogyakarta,"3 467,5","1,04","1,45",1 107,"97,4"
Jawa Timur,"37 565,7","0,76","15,75",786,"97,2"
Banten,"10 688,6","2,78","4,48",1 106,"104,4"
Bali,"3 907,4","2,15","1,64",676,"101,3"
Nusa Tenggara Barat,"4 516,1","1,17","1,89",243,"93,9"
Nusa Tenggara Timur,"4 706,2","2,07","1,97",97,"98,3"
Kalimantan Barat,"4 411,4","0,91","1,85",30,"104,3"
Kalimantan Tengah,"2 220,8","1,79","0,93",14,"108,6"
Kalimantan Selatan,"3 642,6","1,99","1,53",94,"102,2"
Kalimantan Timur,"3 047,5","3,81","1,50",17,"110,9"
Kalimantan Utara,"528,6",NULL,NULL,NULL,NULL
Sulawesi Utara,"2 277,7","1,28","0,95",164,"104,1"
Sulawesi Tengah,"2 646,0","1,95","1,11",43,"104,8"
Sulawesi Selatan,"8 060,4","1,17","3,38",173,"95,1"
Sulawesi Tenggara,"2 243,6","2,08","0,94",59,"100,6"
Gorontalo,"1 044,8","2,26","0,44",93,"100,3"
Sulawesi Barat,"1 164,6","2,68","0,49",69,"100,4"
Maluku,"1 541,9","2,80","0,65",33,"101,9"
Maluku Utara,"1 043,3","2,47","0,44",33,"104,5"
Papua Barat,"765,3","3,71","0,32",8,"112,0"
Papua,"2 857,0","5,39","1,20",9,"113,0"
Indonesia,"238 518,8","1,49","100,00",124,"101,0"
