Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Rasio Jenis Kelamin Penduduk
Aceh,"5 189,5","1,98","1,98",90,"99,8"
Sumatera Utara,"14 262,1","1,30","5,45",195,"99,6"
Sumatera Barat,"5 321,5","1,29","2,03",127,"99,2"
Riau,"6 657,9","2,57","2,54",77,"105,4"
Jambi,"3 515,0","1,78","1,34",70,"104,2"
Sumatera Selatan,"8 267,0","1,44","3,16",90,"103,3"
Bengkulu,"1 934,3","1,67","0,74",97,"104,0"
Lampung,"8 289,6","1,18","3,17",239,"105,1"
Kepulauan Bangka Belitung,"1 430,9","2,18","0,55",87,"108,3"
Kepulauan Riau,"2 082,7","3,01","0,80",254,"104,2"
DKI Jakarta,"10 374,2","1,05","3,96",15 624,"100,6"
Jawa Barat,"48 037,6","1,52","18,34",1 358,"102,7"
Jawa Tengah,"34 257,9","0,78","13,08",1 044,"98,4"
DI Yogyakarta,"3 762,2","1,17","1,44",1 201,"97,9"
Jawa Timur,"39 293,0","0,64","15,00",822,"97,5"
Banten,"12 448,2","2,20","4,75",1 288,"103,9"
Bali,"4 246,5","1,20","1,62",735,"101,4"
Nusa Tenggara Barat,"4 955,6","1,34","1,89",267,"94,3"
Nusa Tenggara Timur,"5 287,3","1,68","2,02",109,"98,2"
Kalimantan Barat,"4 932,5","1,61","1,88",33,"103,7"
Kalimantan Tengah,"2 605,3","2,31","0,99",17,"109,5"
Kalimantan Selatan,"4 119,8","1,77","1,57",106,"102,9"
Kalimantan Timur,"3 575,4","2,31","1,37",28,"110,2"
Kalimantan Utara,"691,1","3,90","0,26",9,"113,0"
Sulawesi Utara,"2 461,0","1,11","0,94",178,"104,2"
Sulawesi Tengah,"2 966,3","1,65","1,13",48,"104,3"
Sulawesi Selatan,"8 690,3","1,08","3,32",186,"95,5"
Sulawesi Tenggara,"2 602,4","2,14","0,99",68,"101,1"
Gorontalo,"1 168,2","1,61","0,45",104,"100,4"
Sulawesi Barat,"1 331,0","1,93","0,51",79,"100,7"
Maluku,"1 744,7","1,78","0,67",37,"101,7"
Maluku Utara,"1 209,3","2,13","0,46",38,"104,1"
Papua Barat,"915,4","2,59","0,35",9,"111,2"
Papua,"3 265,2","1,93","1,25",10,"111,1"
Indonesia,"261 890,9","1,34","100,00",137,"101,0"
